"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"401",621249,"Underwood Jr., Duane","0",,"0.295","0.154","0.315","0.450","0.317","0.333","0.300","44","149","90.5","10.5","2075","89.0","89.33","45","259","142","0.3","6.48","107","149","117","146","301","319","290"
"400",446372,"Kluber, Corey","0",,"0.254","0.154","0.257","0.408","0.281","0.309","0.271","33","130","90.1","14.3","2271","86.9","87.04","39","262","138","0.1","6.52","109","155","120","147","298","329","291"
"397",605513,"Turnbull, Spencer","0",,"0.201","0.104","0.225","0.306","0.220","0.259","0.227","27","134","90.3","6.5","2419","91.0","91.17","46","278","119","0.2","6.32","108","152","115","149","299","328","300"
"387",661269,"Gutierrez, Vladimir","0",,"0.261","0.239","0.248","0.500","0.321","0.331","0.275","37","142","90.4","16.5","2262","86.9","87.13","46","272","115","0.2","6.46","112","152","117","148","293","316","294"
"384",594577,"Mayers, Mike","0",,"0.293","0.268","0.350","0.561","0.360","0.293","0.238","36","123","91.3","19.2","2312","91.0","89.52","75","268","116","-1.5","5.96","113","158","119","152","303","327","301"
"379",474463,"Anderson, Brett","0",,"0.312","0.213","0.304","0.525","0.353","0.419","0.357","44","141","93.9","6.7","1859","85.9","79.21","13","224","155","-6.7","5.98","105","153","117","147","300","324","294"
"379",502179,"Espino, Paolo","0",,"0.260","0.205","0.257","0.465","0.304","0.365","0.305","33","127","89.6","17.3","2397","84.3","84.36","22","233","146","0.1","6.57","112","154","124","145","300","320","299"
"376",489334,"Stammen, Craig","0",,"0.276","0.221","0.272","0.497","0.327","0.337","0.286","40","145","90.6","10.0","2232","88.4","88.99","30","234","142","0.6","6.64","116","155","134","144","297","321","310"
"373",608717,"Stratton, Chris","0",,"0.272","0.136","0.280","0.408","0.285","0.323","0.295","34","125","89.7","14.5","2732","87.8","88.49","33","248","125","0.7","6.53","109","152","121","148","302","321","291"
"372",621368,"Hearn, Taylor","0",,"0.282","0.236","0.295","0.518","0.336","0.348","0.288","31","110","91.3","14.5","2193","92.6","88.58","59","259","113","-4.0","6.17","113","153","120","147","299","326","295"
"369",453268,"Bard, Daniel","0",,"0.324","0.252","0.400","0.577","0.383","0.314","0.277","36","111","93.3","12.5","2806","92.5","91.90","60","250","119","-0.6","6.15","112","150","116","146","302","333","307"
"365",621219,"Mills, Alec","0",,"0.292","0.162","0.314","0.454","0.325","0.324","0.295","38","130","90.6","6.4","2175","84.6","83.91","26","223","142","-0.7","6.01","111","154","114","150","296","323","300"
